,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
1199,1200,male,American,Arthur,Contreras,2455 Merton Street,Toronto,Ontario,M1L 3K7,Canada,ThomasRContreras@einrot.com,416-458-3252,04-10-1987,35,Magistrate,Incluesiv,2009 BMW 118,AB+,101.3,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,35
1200,1201,female,American,John,Henry,406 rue Saint-Antoine,Granby,Quebec,J2H 2H5,Canada,HollyMHenry@cuvox.de,450-525-6447,9/16/1993,29,HVAC technician,Vinyl Fever,2006 Lada 2110,B-,95.7,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,100
1201,1202,male,American,Linda,Thompson,4803 Charleton Ave,Hamilton,Ontario,L8N 3X3,Canada,DouglasVThompson@gustr.com,289-260-4972,1/21/1979,44,Group exercise instructor,No Company,2006 Jaguar X-Type,O+,88.7,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,10
1202,1203,female,American,William,Bull,3136 Thatcher Avenue,Lloydminster,Saskatchewan,S9V 0K5,Canada,BettyJBull@jourrapide.com,306-825-3268,01-02-1974,49,Occupational health and safety inspector,Life Map,1996 Lotus Elise,A+,99.8,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,726
1203,1204,male,American,Anita,Garrett,3939 Reserve St,Kirkfield,Ontario,K0M 2B0,Canada,JamalHGarrett@fleckens.hu,705-438-6641,9/30/1989,33,Poultry cutter,Castle Realty,1998 Chrysler Viper,B+,66.7,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,645
1204,1205,female,American,Ted,Zambrano,1293 Islington Ave,Toronto,Ontario,M8V 3B6,Canada,CarlaJZambrano@dayrep.com,416-779-2923,3/16/1994,28,Correctional treatment specialist,Elm Farm,2002 BMW Formula FB02,O+,98.8,"5' 5""",Other Theft,South Granville,98
1205,1206,male,American,Luis,Smith,4914 Blind Bay Road,Salmon Arm,British Columbia,V0E 2T0,Canada,CharlesASmith@gustr.com,250-803-2141,5/24/1998,24,Psychiatric aide,Ulbrich's,2001 Peugeot Partner,O+,91.6,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,13
1206,1207,male,American,Asa,Sellers,3026 Ross Street,Smiths Falls,Ontario,K7A 1C2,Canada,DustinDSellers@gustr.com,613-207-7276,12/25/1987,35,Food and beverage manager,Complete Tech,2012 Ford Explorer,B+,90.3,"6' 0""",Mischief,Grandview,8
1207,1208,male,American,Darrick,Crum,1788 Thurston Dr,Orleans,Ontario,K1C 1T1,Canada,RichardHCrum@cuvox.de,613-837-0561,12-04-2001,21,Payroll administrator,Magna Gases,1997 Volkswagen Sharan,O+,103.9,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,47
1208,1209,male,American,George,Brooks,803 Goyeau Ave,Windsor,Ontario,N9A 1H9,Canada,EdwardCBrooks@einrot.com,519-252-3719,06-12-1998,24,Financial consultant,Pace Membership Warehouse,2007 Volvo V70,O+,63.1,"6' 0""",Theft from Vehicle,Central,845
1209,1210,male,American,Beverly,Schmidt,2691 Nelson Street,Bearskin Lake,Ontario,P0V 1E0,Canada,DarrenTSchmidt@dayrep.com,807-363-8301,2/13/1988,35,Floor finisher,Irving's Sporting Goods,2000 Mercury Mountaineer,O+,81.5,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,7
1210,1211,female,American,Ronald,Moore,724 Venture Place,High Prairie,Alberta,T0G 1E0,Canada,GlendaEMoore@gustr.com,780-536-2223,6/19/2001,21,Fine artist,SoundTrack,2011 BMW 750,O-,72.3,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,100
1211,1212,male,American,Matthew,Morris,1251 Merivale Road,Stittsville,Ontario,K2S 1B9,Canada,WilliamKMorris@teleworm.us,613-836-3916,12-11-1994,28,Information processing worker,Dream Home Real Estate Service,1998 Ferrari 355 TS,O+,70.4,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,645
1212,1213,male,American,Kevin,Palmer,3690 90th Avenue,Brooks,Alberta,T0J 0J0,Canada,LawrenceAPalmer@jourrapide.com,403-501-4194,9/15/1994,28,Personal and home care aide,Dahlkemper's,2014 Ford Fusion Energi,AB+,111.2,"5' 7""",Other Theft,Kitsilano,98
1213,1214,male,American,Jerry,Sayers,2395 rue de la Gauchetière,Montreal,Quebec,H3B 2M3,Canada,OdisOSayers@teleworm.us,514-786-4338,3/16/2001,21,Trash collector,Thalhimers,1998 Proton 300,O-,62.3,"5' 9""",Mischief,Latchford,7
1214,1215,male,American,Michael,Parker,4538 Bay Street,Toronto,Ontario,M5J 2R8,Canada,FrancisFParker@armyspy.com,647-893-2484,11/15/1988,34,Administrative services manager,Coconut's,2009 Bentley Continental GTC,O+,85.5,"5' 11""",Other Theft,Kitsilano,9
1215,1216,male,American,Frederic,Talbot,3224 Burdett Avenue,Victoria,British Columbia,V8W 1B2,Canada,SeanMTalbot@fleckens.hu,250-588-0711,09-09-1994,28,Furniture finisher,Afforda Merchant Services,2012 Citroen C4,B+,66.8,"5' 7""",Other Theft,West Point Grey,645
1216,1217,male,American,John,Williams,4248 St. John Street,Aberdeen,Saskatchewan,S4P 3Y2,Canada,CharlesDWilliams@einrot.com,306-253-3202,03-04-2003,19,Operations analyst,J. Riggings,2009 Tesla Roadster,A+,55.5,"5' 6""",Mischief,Central,98
1217,1218,male,American,David,Jones,2511 Lauzon Parkway,La Salle,Ontario,N9J 1M9,Canada,AnthonyCJones@einrot.com,519-734-3227,06-05-1984,38,Merchandise distributor,Grey Fade,2009 Porsche Boxster,A+,83.0,"5' 8""",Other Theft,Central,726
1218,1219,male,American,Norma,Stanford,1343 St. John Street,Lloydminster,Saskatchewan,S4P 3Y2,Canada,PedroRStanford@einrot.com,306-603-0988,3/29/1987,35,Soldier,Handy Andy Home Improvement Center,2011 Chevrolet Nubira,O+,92.1,"5' 7""",Other Theft,Mount Pleasant,9
1219,1220,male,American,Dorothy,Story,3308 Nelson Street,Minaki,Ontario,P0X 1J0,Canada,KerryBStory@armyspy.com,807-225-9084,5/24/2003,19,Desk clerk,King Carol,1998 Ford Ka,O+,64.1,"6' 2""",Other Theft,Kitsilano,787
1220,1221,male,American,Mitch,Banda,2581 Albert Street,Hague,Saskatchewan,S4P 3Y2,Canada,WilliamCBanda@cuvox.de,306-225-8376,12/27/1981,41,Undertaker,Castle Realty,2002 Suzuki Ignis,O+,106.5,"5' 6""",Other Theft,Mount Pleasant,193
1221,1222,male,American,Betty,Stinson,2409 Main St,Aylesford,Nova Scotia,B0P 1C0,Canada,ReneJStinson@cuvox.de,902-341-0939,1/22/1994,29,Licensed vocational nurse,Manu Connection,2012 Opel Antara,B+,95.0,"5' 9""",Break and Enter Residential/Other,The West End,645
1222,1223,female,American,Roy,Curry,568 Galts Ave,Red Deer,Alberta,T4N 2A6,Canada,TeresaNCurry@jourrapide.com,403-506-5317,8/17/1997,25,Biometrician,Mansmann's Department Store,1992 Daihatsu Opti,A+,52.2,"5' 4""",Other Theft,West Point Grey,7
1223,1224,male,American,Susan,Scales,4593 Nelson Street,Balmertown,Ontario,P0V 1C0,Canada,PhilMScales@armyspy.com,807-735-8132,03-08-1979,43,Chiropractic doctor,Hechinger,2010 Mercedes-Benz CLC,O+,112.3,"6' 1""",Break and Enter Commercial,The West End,33
1224,1225,female,American,Nathan,Wilson,2746 Kinchant St,Abbotsford,British Columbia,V2T 2Z3,Canada,JoyceDWilson@einrot.com,604-832-0106,12/26/1981,41,Shipping clerk,Red Robin Stores,2009 SsangYong Korando,A+,65.7,"5' 1""",Break and Enter Commercial,South Granville,787
1225,1226,female,American,Robert,Norton,4293 Toy Avenue,Oshawa,Ontario,L1G 6Z8,Canada,LindaGNorton@superrito.com,905-243-8347,12-04-1973,49,Marriage and family therapist,Gemco,2008 Kia Carnival,B+,71.2,"5' 8""",Other Theft,South Granville,47
1226,1227,female,American,Roger,Gent,4115 rue St-Henri,La Prairie,Quebec,J5R 2S7,Canada,SherylTGent@teleworm.us,450-444-0835,4/27/1995,27,Dental surgeon,Crazy Tiger,2011 Toyota Matrix,A+,49.1,"5' 6""",Other Theft,Oakville,845
1227,1228,female,American,Cortney,Diehl,384 90th Avenue,Rosebud,Alberta,T0J 2T0,Canada,AnnieODiehl@teleworm.us,403-677-7510,8/23/1995,27,Millwright,Chi-Chi's,2005 Mercedes-Benz CLK GTR,O+,95.0,"5' 8""",Other Theft,Central,10
1228,1229,female,American,Jean,McCarthy,3583 Jasper Ave,Edmonton,Alberta,T5J 3N6,Canada,AliceMMcCarthy@jourrapide.com,780-907-9776,9/14/1989,33,"Crushing, grinding, and polishing machine setter",Total Serve,1997 Mercedes-Benz SLK,O+,79.4,"5' 3""",Other Theft,Mount Pleasant,8
1229,1230,male,American,Christina,Perry,3266 Front Street,Toronto,Ontario,M5J 2N1,Canada,FrederickDPerry@armyspy.com,416-918-4090,12/23/1976,46,Private household cook,The Spotted Cougar,1995 Daewoo Brougham,B+,75.6,"6' 0""",Break and Enter Commercial,Grandview,8
1230,1231,female,American,Stephanie,Welch,4734 Ross Street,Napanee,Ontario,K7R 2P3,Canada,MariaTWelch@fleckens.hu,613-354-9556,04-02-1993,29,Blood bank technologist,MacMarr Stores,2009 Kia Amanti,O+,90.7,"5' 5""",Break and Enter Commercial,Kitsilano,787
1231,1232,female,American,Barbara,Murphy,1714 184th Street,Edmonton,Alberta,T5J 2R4,Canada,CorinnaMMurphy@armyspy.com,780-461-5160,03-08-1976,46,Petroleum geologist,Grass Roots Yard Services,2007 Land Rover Defender,A+,61.9,"5' 2""",Break and Enter Commercial,The West End,53
1232,1233,male,American,Stella,Schwartz,1367 Islington Ave,Toronto,Ontario,M8V 3B6,Canada,HaroldASchwartz@jourrapide.com,416-427-4756,12/22/1987,35,Clinical chemistry technologist,Maxi-Tech,2005 Bentley Azure,O+,111.3,"6' 2""",Break and Enter Commercial,West Point Grey,35
1233,1234,male,American,Ruby,Jones,1676 Blanshard,Victoria,British Columbia,V8W 2H9,Canada,MichaelLJones@dayrep.com,250-221-1235,5/16/1981,41,Patient representative,Just For Fun,2008 BMW 118,A+,89.7,"6' 2""",Break and Enter Residential/Other,Mount Pleasant,726
1234,1235,female,American,Tiffany,Hughes,616 Queens Bay,Nakusp,British Columbia,V0G 1R0,Canada,DanaCHughes@armyspy.com,250-265-8143,07-01-1987,35,Addictions nurse,Handy Andy Home Improvement Center,2009 Dodge Avenger,O+,79.1,"5' 8""",Break and Enter Residential/Other,Oakville,229
1235,1236,female,American,Jonathan,Currier,472 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,ClaraRCurrier@fleckens.hu,416-670-0648,07-07-1975,47,Airline copilots,Cal Stereo,2007 Kia Picanto,O+,84.6,"5' 7""",Other Theft,The West End,9
1236,1237,female,American,Emile,Doughty,3640 Northumberland Street,Linwood,Ontario,N0B 2A0,Canada,DianeMDoughty@gustr.com,519-698-0927,04-06-2000,22,Forest fire prevention specialist,Sounds of Soul Records & Tapes,1995 Porsche 928,A+,53.3,"5' 9""",Offence Against a Person,Latchford,41
1237,1238,female,American,Pauline,Hopper,527 Dundas St,Toronto,Ontario,M2N 2G8,Canada,NildaEHopper@armyspy.com,416-224-3622,7/20/1998,24,Aircraft systems assembler,Multi Tech Development,1999 Dodge Stealth,O+,50.0,"5' 5""",Other Theft,Central,2198
1238,1239,male,American,Tracy,Harper,4205 40th Street,Calgary,Alberta,T2K 0P7,Canada,MichaelRHarper@armyspy.com,403-516-5302,1/29/1980,43,Rock splitter,Perisolution,2003 Citroen C 15,A+,64.9,"5' 10""",Break and Enter Residential/Other,Kitsilano,726
1239,1240,male,American,Paula,Martin,1182 137th Avenue,Edmonton,Alberta,T5J 2Z2,Canada,JasonEMartin@einrot.com,780-710-8405,11/28/1991,31,Business support assistant,Country Club Markets,2011 Renault Clio,O+,113.2,"5' 8""",Offence Against a Person,Latchford,726
1240,1241,male,American,Tony,Slater,1204 Bridgeport Rd,Orangeville,Ontario,L9W 2C8,Canada,WilliamKSlater@rhyta.com,519-939-4205,2/18/1997,26,Groomer,Hughes Markets,2002 Kia Sephia II,A+,111.3,"5' 9""",Break and Enter Residential/Other,South Vancouver,726
1241,1242,female,American,Ralph,Clayton,901 rue Garneau,Quebec,Quebec,G1V 3V5,Canada,GingerRClayton@gustr.com,418-456-4085,4/13/2000,22,Camp director,Vitagee,1998 Volvo V70,A+,58.3,"5' 1""",Other Theft,Mount Pleasant,9
1242,1243,female,American,Rosa,Marr,1284 rue Garneau,Quebec,Quebec,G1V 3V5,Canada,LisaSMarr@armyspy.com,418-933-3170,8/15/1993,29,Extruding and drawing machine setters,Music Boutique,2001 Chrysler Cirrus,A+,73.1,"5' 2""",Other Theft,Central,53
1243,1244,male,American,Melinda,Mann,4431 Reserve St,Hastings,Ontario,K0L 1Y0,Canada,ToddDMann@fleckens.hu,705-696-3835,10/13/2000,22,Operating engineer,Bell Markets,2005 Renault Zoom,O+,80.7,"6' 0""",Other Theft,Central,7
1244,1245,female,American,William,Thomas,979 Burdett Avenue,Victoria,British Columbia,V8W 1B2,Canada,LindaTThomas@einrot.com,250-589-4018,4/14/1985,37,Colorist,Bountiful Harvest Health Food Store,1993 Rolls-Royce Silver Spirit,A+,64.3,"5' 4""",Theft from Vehicle,South Granville,2198
1245,1246,male,American,James,Klar,2212 4th Ave,Stirling,Alberta,T0K 2E0,Canada,ArthurDKlar@jourrapide.com,403-756-7153,11/26/1995,27,Fire dispatcher,Rack N Sack,1995 Jaguar XJS,O-,81.4,"6' 2""",Other Theft,West Point Grey,7
1246,1247,female,American,Ila,Cooper,4667 rue Levy,Montreal,Quebec,H3C 5K4,Canada,MaeJCooper@rhyta.com,514-715-7102,04-02-1983,39,Ballet master,Red Baron Electronics,2011 Nissan Patrol,A+,64.0,"5' 5""",Break and Enter Commercial,South Granville,53
1247,1248,female,American,Rebecca,Quintanilla,4130 Nootka Street,Vancouver,British Columbia,V5M 3M5,Canada,AngelaCQuintanilla@cuvox.de,778-235-2066,1/29/1986,37,IT manager,Vibrant Man,2003 Dodge Intrepid,O+,58.2,"5' 6""",Offence Against a Person,South Vancouver,100
1248,1249,male,American,Ralph,Anderson,3045 Roger Street,Nanaimo,British Columbia,V9R 5H9,Canada,JonathanCAnderson@rhyta.com,250-758-6046,10/19/1972,50,Self enrichment teacher,National Lumber,1992 Alfa Romeo 164,O+,79.9,"5' 6""",Other Theft,The West End,35
1249,1250,male,American,Matthew,Banks,376 Queens Sq,Hespeler,Ontario,N3C 1H3,Canada,JordonDBanks@einrot.com,519-212-4704,4/24/1990,32,Land agent,Road Runner Lawn Services,2010 Nissan Pathfinder,O+,72.3,"5' 11""",Other Theft,Oakville,41
1250,1251,female,American,Sandra,Martinez,3469 Burdett Avenue,Sidney,British Columbia,V8L 1X3,Canada,HelenJMartinez@jourrapide.com,250-654-3177,6/14/1986,36,Multimedia artist,Beaver Lumber,2004 Scion xA,B+,65.2,"5' 1""",Other Theft,Mount Pleasant,100
1251,1252,female,American,Cynthia,Burke,3266 Blanshard,Victoria,British Columbia,V8W 2H9,Canada,FrancesABurke@dayrep.com,250-952-5622,4/27/2000,22,Orthotist,O.K. Fairbanks,2009 Volkswagen Kombi,B+,59.7,"5' 5""",Break and Enter Residential/Other,Latchford,2198
1252,1253,female,American,Janet,Nash,3839 Main St,Sedley,Saskatchewan,S0G 4K0,Canada,WendyHNash@armyspy.com,306-885-7312,10-07-2001,21,Postsecondary vocational-technical education teacher,Spaceage Stereo,2004 Peugeot 106,AB+,80.4,"5' 9""",Theft from Vehicle,Central,100
1253,1254,male,American,Bradley,Sims,3531 Venture Place,Smith,Alberta,T0G 2B0,Canada,CliffordSSims@teleworm.us,780-829-4923,11-12-1996,26,Embalmer,Corinthian Designs,2006 Isuzu I-280,A+,86.0,"5' 8""",Theft from Vehicle,The West End,47
1254,1255,male,American,Lynne,Moroney,3343 90th Avenue,Hanna,Alberta,T0J 1P0,Canada,CharlesKMoroney@rhyta.com,403-854-8792,10/22/1978,44,Stevedore,Robert Hall,2001 Isuzu Axiom,O+,106.9,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,845
1255,1256,male,American,Carolyn,Anderson,4845 Davis Drive,Orillia,Ontario,L3V 1T4,Canada,HarrySAnderson@dayrep.com,705-326-6827,01-03-1999,24,Insurance adjuster,Disc Jockey,1998 Peugeot 504,A+,56.7,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,7
1256,1257,male,American,Cynthia,Roten,4758 Venture Place,Morinville,Alberta,T0G 1P0,Canada,NealMRoten@dayrep.com,780-939-0300,1/17/1992,31,Electronic technician,Olson Electronics,2004 Oldsmobile Alero,A+,70.7,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,645
1257,1258,female,American,Rashad,Stubbs,750 9th Ave,Lethbridge,Alberta,T1J 2J7,Canada,DorisAStubbs@rhyta.com,403-328-6811,2/28/1986,36,Personal attendant,New World Realty,2007 Chevrolet Lacetti,O+,51.3,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,193
1258,1259,female,American,James,Lovelace,584 Montreal Road,Ottawa,Ontario,K1L 6C7,Canada,BeatriceALovelace@superrito.com,613-748-3395,02-04-1991,32,Forensic nurse,Practi-Plan,1999 Nissan R 391,B+,92.3,"5' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,229
1259,1260,male,American,Robert,Joseph,769 Nootka Street,Vancouver,British Columbia,V5M 3M5,Canada,AlvinAJoseph@fleckens.hu,604-340-1633,01-11-2002,21,Sales worker,Tweeter,2012 Audi RS3,A-,74.9,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,7
1260,1261,male,American,Phillip,Nicolas,3496 Dry Pine Bay Rd,Chapleau,Ontario,P0M 1K0,Canada,MichaelMNicolas@gustr.com,705-864-9129,12/23/1992,30,Safety engineer,Corinthian Designs,2003 Daihatsu Terios,O+,79.3,"5' 7""",Break and Enter Residential/Other,West Point Grey,645
1261,1262,female,American,Fred,Freeman,676 Fallon Drive,Durham,Ontario,N0G 1R0,Canada,LeonoraJFreeman@rhyta.com,519-369-8600,2/18/1987,36,Facility manager,Solid Future,1996 Nissan Presea,A+,79.8,"5' 2""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,8
1262,1263,male,American,Erwin,Rine,626 Bay Street,Toronto,Ontario,M5J 2R8,Canada,TomasARine@fleckens.hu,416-890-8848,5/18/1997,25,Fire inspector,Total Sources,1996 BMW 332,O+,102.2,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,10
1263,1264,male,American,Georgia,Holmes,2885 chemin Hudson,Montreal,Quebec,H4J 1M9,Canada,StevenLHolmes@einrot.com,514-688-2005,10-09-1980,42,Steadicam operator,Cala Foods,1997 Lexus SC,B+,103.0,"5' 11""",Offence Against a Person,South Vancouver,193
1264,1265,male,American,Allison,Frederick,3168 Parkdale Ave,Brockville,Ontario,K6V 4X4,Canada,JamesAFrederick@dayrep.com,613-342-9248,8/14/1989,33,Economic geographer,Fayva,1994 Aston Martin Virage,B+,77.1,"6' 2""",Break and Enter Residential/Other,South Vancouver,5
1265,1266,female,American,Michael,Burke,3618 Burdett Avenue,Lakelse Lake,British Columbia,V8G 2V2,Canada,JoanneCBurke@jourrapide.com,250-798-0463,11/18/1994,28,Judiciary translator,Sportmart,2011 Audi A1,B+,57.0,"5' 2""",Break and Enter Residential/Other,South Vancouver,193
1266,1267,female,American,Mary,Harnden,4814 Jade St,West Vancouver,British Columbia,V7V 1Y8,Canada,MaggieSHarnden@rhyta.com,604-926-0176,6/23/1994,28,Nurse educator,Team Designers and Associates,2007 Saturn Sky,O-,90.5,"5' 1""",Mischief,Oakville,645
1267,1268,male,American,Ruth,Mertens,1375 Paradise Crescent,Hauterive,Quebec,G5C 1M1,Canada,MichaelCMertens@superrito.com,418-920-7366,7/17/2003,19,Long haul truck driver,Shoe Town,2007 Renault Scenic,O+,55.1,"6' 1""",Mischief,South Vancouver,7
1268,1269,female,American,Regina,Howe,1930 Rue King,Sherbrooke,Quebec,J1H 1R4,Canada,PhyllisLHowe@jourrapide.com,819-577-7580,3/14/1984,38,Dipper,Vibrant Man,2007 Mercedes-Benz B,AB+,52.1,"5' 1""",Mischief,Mount Pleasant,100
1269,1270,male,American,Willie,Abrams,4824 Orenda Rd,Brampton,Ontario,L6W 1Z2,Canada,PaulBAbrams@teleworm.us,905-453-9290,06-12-1983,39,Management accountant,Adapt,2002 Mazda B2500,AB+,85.0,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,787
1270,1271,female,American,Patricia,Comeau,961 Yonge Street,Toronto,Ontario,M4W 1J7,Canada,VeraGComeau@teleworm.us,416-968-6846,1/16/1997,26,Machine feeder,Turtle's Records & Tapes,1992 Porsche 964,B+,98.4,"5' 7""",Offence Against a Person,Kitsilano,33
1271,1272,male,American,Paul,Derby,67 Bayfield St,Richmond Hill,Ontario,L4C 3Y2,Canada,DonnyCDerby@superrito.com,905-780-4388,10-04-1990,32,Dairy farmer,Cala Foods,1993 Alfa Romeo 33,B+,72.6,"5' 8""",Offence Against a Person,Latchford,10
1272,1273,female,American,Robert,Mills,2328 Hardy Street,Kelowna,British Columbia,V1Y 8H2,Canada,RachelMMills@fleckens.hu,250-826-2251,9/18/1993,29,Sales engineer,Gamma Realty,2008 Toyota Tundra,A+,59.8,"5' 7""",Offence Against a Person,Central,645
1273,1274,male,American,Eddie,Cardwell,3389 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,EdwinCCardwell@superrito.com,416-982-3583,4/23/1977,45,Athlete,Keeney's,2005 Renault Scenic,O+,89.2,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,9
1274,1275,male,American,Mary,Darnell,2719 Gay Road,Pownal,Prince Edward Island,C1B 0N1,Canada,SangSDarnell@jourrapide.com,902-651-5683,07-02-1989,33,Billing clerk,Best Biz Survis,2004 Ford Ecosport,A+,95.7,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,41
1275,1276,female,American,Bobby,Hancock,2913 Mesa Vista Drive,Douglas Lake,British Columbia,V0K 2B0,Canada,FrancisCHancock@jourrapide.com,250-350-9473,12/21/1981,41,911 operator,Media Play,2001 Steyr G-series,O+,73.8,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,787
1276,1277,female,American,Paul,Smith,4540 7th Ave,Calgary,Alberta,T2P 0W4,Canada,JulieSSmith@einrot.com,403-257-4495,05-05-1978,44,Fine arts instructor,Infinite Wealth,1993 Cadillac Eldorado,O+,67.3,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,193
1277,1278,female,American,Marie,Wilkinson,1329 Galts Ave,Red Deer,Alberta,T4N 2A6,Canada,MicheleEWilkinson@einrot.com,403-877-5235,10-11-1995,27,Education administrator,Big Star Markets,2000 SsangYong Musso,O+,83.1,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Central,787
